Companies	Details
Designation	Chief Executive Officer
Company	MCB-Arif Habib Savings and Investments Limited
Address	"2nd Floor, Admjee House , I.I. Chundrigar Road,Karachi"
Phone	111-162-224
Phone 2	
Fax	021-35316080
Date of Listing	28/08/2008
Email	info@mcbah.com
URL	www.mcbah.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Muhammad Najam Ali
Designation	Chief Executive Officer
Company	Next Capital Limited
Address	"2nd Floor, Imperial Court Building , Dr. Ziaiddin Ahmed Road,Karachi"
Phone	021-111-639-825
Phone 2	
Fax	021-35292621
Date of Listing	27/04/2012
Email	cf@nextcapital.com.pk
URL	www.nextcapital.com.pk
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Shaheen Amin
Designation	Chief Executive
Company	OLP Financial Services Pakistan Limited (Formerly: Orix Leasing Pak)
Address	"OLP Building, Plot # 16, Sector 24, , Korangi Industrial Area,,Karachi"
Phone	021-35144029-40
Phone 2	021-111242424
Fax	"021-35144059, 021-35144046"
Date of Listing	03/08/1988
Email	haider.abbas@olpfinance.com
URL	www.olpfinance.com
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Pervez Ahmed
Designation	Chief Executive
Company	Pervez Ahmed Consultancy Services Limited
Address	"20-K , Gulberg-II,Lahore"
Phone	042-35759621-35759464
Phone 2	042-35714810
Fax	042-35710312
Date of Listing	21/06/2007
Email	
URL	www.pervezahmed.net
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Farooq Naqvi
Designation	Chief Executive
Company	Prudential Discount & Guarantee House Ltd.
Address	"Office No.A-601-2, Lakson Square, Building No.3 , Sarwar Shaheed Road,Karachi"
Phone	021-35643275-78
Phone 2	
Fax	35643283
Date of Listing	04/02/1992
Email	
URL	
Registrar	
	
Representative	Mr. Tahir Hasan
Designation	Chief Executive
Company	Prudential Investment Bank Limited
Address	"Office No.A-601-2, Lakson Square, Building No.3 , Sarwar Shaheed Road,Karachi"
Phone	021-35643275-78
Phone 2	
Fax	021-35643283
Date of Listing	03/12/1990
Email	prudmod@set.net.pk
URL	www.piblpk.com
Registrar	
	
Representative	Mr. Farrukh Hussain Khan
Designation	Chief Executive Officer
Company	Pakistan Stock Exchange Limited
Address	"Stock Exchange Building , Stock Exchange Road,Karachi"
Phone	021-111-001-122
Phone 2	021-35205528-29
Fax	021-32410825
Date of Listing	29/06/2017
Email	info@psx.com.pk
URL	www.psx.com.pk
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Mr. Zafar M. Sheikh
Designation	President & Chief Executive
Company	Security Investment Bank Limited
Address	"Office No. 502, 5th Floor, Madina City Mall, , Abdullah Haroon Road, Saddar,Karachi"
Phone	021-35659750-54
Phone 2	
Fax	
Date of Listing	06/01/1992
Email	shakeel@sibl.com.pk
URL	www.sibl.com.pk
Registrar	C & K Management Associates (Pvt) Limited
	
Representative	Mr. Ahsan Rafique
Designation	Chief Executive Officer
Company	Trust Investment Bank Limited
Address	"6th Floor, M.M. Towers, 28-A/K , M.M. Alam Road, Gulberg-II,Lahore"
Phone	042-35758285-8
Phone 2	
Fax	042-35758289
Date of Listing	18/08/1992
Email	info@trustbank.com.pk
URL	www.trustbank.com.pk
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Abdul Basit
Designation	Chief Executive Officer
Company	Trust Securities & Brokerage Limited
Address	"Suite # 401-402, 4th Floor, Business & Finance Centre , I.I. Chundrigar Road,Karachi"
Phone	021-111-000-875
Phone 2	021-32469044-8
Fax	021-32467660
Date of Listing	16/06/1994
Email	info@tsbl.com.pk
URL	www.tsbl.com.pk
	
Representative	Mr. Humayun Mazhar
Designation	Chief Executive Officer
Company	Crescent Jute Products Limited
Address	"1st Floor, 65-XX, , Khayaban-e-Iqbal Road, Phase III, DHA,Lahore"
Phone	042-37186438-9
Phone 2	
Fax	
Date of Listing	19/04/1965
Email	corpsecy@cresjute.com
URL	www.cresjute.com
Registrar	Corptec Associates (Private) Limited
	
Representative	Mr. Sohail Farooq Shaikh
Designation	Chairman/Chief Executive
Company	Suhail Jute Mills Limited
Address	"125 Murree Road , ,Rawalpindi"
Phone	5568051-53
Phone 2	
Fax	5566310
Date of Listing	18/09/1984
Email	
URL	
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Asim Mahboob Sheikh
Designation	Chairman/Chief Executive
Company	English Leasing Limited
Address	"Office # 203, Park Avenue , 24-A, Block-6, P.E.C.H.S. Sharea Faisal,Karachi"
Phone	021-34326515-7
Phone 2	
Fax	021-34326530
Date of Listing	11/08/1992
Email	
URL	
Registrar	C & K Management Associates (Pvt) Limited
	
Representative	Mr. Muhammad Tahir Butt
Designation	Chief Executive
Company	Grays Leasing Limited
Address	"701-A, 7th Floor, City Towers , 6-K, Main Boulevard, Gulberg-II,Lahore"
Phone	042-35770381-82
Phone 2	
Fax	042-35770389
Date of Listing	26/03/1997
Email	info@graysleasing.com
URL	www.graysleasing.com
Registrar	Corptec Associates (Private) Limited
	
Representative	Mr. Mahfuz-ur-Rahman Pasha
Designation	Chief Executive Officer
Company	Pak-Gulf Leasing Company Limited
Address	"UNIBRO HOUSE, Ground & Mezzanine Floor , Plot No.114, 9th East Street, Phase-1, D.H.A.,Karachi"
Phone	021-35824401
Phone 2	021-35375986-87
Fax	021-35820302
Date of Listing	18/09/1996
Email	pgl@pakgulfleasing.com
URL	www.pakgulfleasing.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Zaheerul Haque
Designation	Executive Chairman
Company	Pakistan Industrial & Commercial Leasing Ltd.
Address	"504 Park Avenue , 24-A, Block 6, P.E.C.H.S. Sharea Faisal,Karachi"
Phone	4551045-4553146
Phone 2	4554285
Fax	4520655
Date of Listing	30/06/1994
Email	picl@super.net.pk
URL	www.piclltd.com
Registrar	
	
Representative	Ms. Farah Azeem
Designation	Chief Executive
Company	Security Leasing Corporation Limited
Address	"Block B, 5th Floor,Lakson Square Building # 3 , Sarwar Shaheed Road,Karachi"
Phone	021-35205379
Phone 2	021-111-111-902
Fax	021-35689854
Date of Listing	25/04/1995
Email	slcl@seclease.com
URL	www.seclease.com
	
Representative	Mir Javed Hashmat
Designation	Chief Executive Officer
Company	SME Leasing Limited
Address	"Office No. 304, 3rd Floor , Business Arcade Sharea Faisal,Karachi"
Phone	021-34322128-9
Phone 2	
Fax	021-34322082
Date of Listing	01/01/1970
Email	info@smelease.com
URL	www.smelease.com
Registrar	Corptec Associates (Private) Limited
	
Representative	Mr. Ahsan Ullah
Designation	Chief Executive Officer
Company	Saudi Pak Leasing Company Limited
Address	"6th Floor, Lakson Square Building No. 1 , Sarwar Shaheed Road,Karachi"
Phone	"35655181-85, 111-888-999"
Phone 2	35655215-19
Fax	"35210607-09,"
Date of Listing	27/05/1991
Email	info@saudipakleasing.com
URL	www.saudipakleasing.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Muhammad Imran Malik
Designation	Chief Executive Officer
Company	Bata Pakistan Limited
Address	"Batapur , P.O. Batapur,Lahore"
Phone	042-36581172-73
Phone 2	042-111-044-055
Fax	042-36581176-77
Date of Listing	25/11/1979
Email	bata@batapk.com
URL	www.bata.pk
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Saeed Alam
Designation	Chief Executive
Company	Fateh Industries Limited
Address	"442-Mirpurkhas Road , ,Hyderabad"
Phone	022-3886263-7
Phone 2	
Fax	022-3886268
Date of Listing	10/06/1992
Email	fswl@fateh1.com
URL	www.fatehindustriesgroup.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. S. Khalid H. Shah
Designation	Chief Executive
Company	Leather Up Limited
Address	"23-C, 15th Commercial Street , Phase-II Extension, D.H.A.,Karachi"
Phone	021-35880771-72
Phone 2	
Fax	021-35880773-35896417
Date of Listing	14/09/1994
Email	info@leatherupltd.com
URL	www.leatherupltd.com
Registrar	C & K Management Associates (Pvt) Limited
	
Representative	Mr. Mohammed Saleem Ahmed
Designation	Chief Executive
Company	Pak Leather Crafts Limited
Address	"Plot No.18, Sector 7-A , Korangi Industrial Area,Karachi"
Phone	021-35064100-1
Phone 2	
Fax	021-35060809-35060109
Date of Listing	05/03/1991
Email	info@pakleather.com
URL	www.pakleather.com
Registrar	M/s. JWAFFS Registrar Services (Pvt.) Limited
	
Representative	Mr. Hassan Javed
Designation	Chief Executive Officer
Company	Service Global Footwear Limited
Address	"Service House, , 2 - Main Gulberg,Lahore"
Phone	042-35751990-6
Phone 2	
Fax	042-35711827
Date of Listing	28/04/2021
Email	sgfl@serviceglobalfootwear.com
URL	www.serviceglobalfootwear.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Arif Saeed
Designation	Chief Executive
Company	Service Industries Limited
Address	"Servis House , 2-Main Gulberg,Lahore"
Phone	042-35751990-96
Phone 2	111-111-501
Fax	042-35710593
Date of Listing	27/06/1970
Email	sil@servis.com
URL	www.servisgroup.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Aurangzeb Ali Naqvi
Designation	Chief Executive Officer
Company	AKD Hospitality Limited (Formerly: AKD Capital Limited)
Address	"511, 5th Floor, Continental Trade Centre , Main Clifton Road, Block-8, Clifton,Karachi"
Phone	021-35302963
Phone 2	
Fax	021-35861662
Date of Listing	13/10/1957
Email	jawad@akdgroup.net
URL	www.akdcapital.com
Registrar	C & K Management Associates (Pvt) Limited
	
Representative	Mr. Mohammed Saeed Sheikh
Designation	Chief Executive
Company	Al-Khair Gadoon Limited
Address	"Al-Khair House , 43-T, Gulberg-II,Lahore"
Phone	042-35716580-87
Phone 2	111-111-043
Fax	042-35716588-89
Date of Listing	17/03/1996
Email	"alkhairgroup@hotmail.com, info@alkhairgroup.com"
URL	www.alkhairgroup.com
Registrar	Shemas International (Pvt.) Limited
	
Representative	Mr. Abbas Sarfaraz Khan
Designation	Chief Executive
Company	Arpak International Investments Ltd.
Address	"King's Arcade, 20-A , Markaz F-7,Islamabad"
Phone	051-2650805-07
Phone 2	
Fax	051-2651285-86
Date of Listing	21/05/1978
Email	
URL	
Registrar	Hameed Majeed Associates (Pvt.) Ltd
	
Representative	Mr. Faheem Khan Niazi
Designation	Chief Executive
Company	Dadabhoy Construction Technology Limited
Address	"Suit #4, 2nd Floor, Plot No.28-30/C-II, Noor Centre , Khayaban-e-Ittehad, Lane #12, Phase-VII, D.H.A.,Karachi"
Phone	021-35312002-04-07-09
Phone 2	0312-8952678 / 0300-2270780
Fax	021-35312006
Date of Listing	16/07/1990
Email	mhdadabhoy@cyber.net.pk
URL	www.mhdadabhoy.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Iftikhar A. Shaffi
Designation	Chief Executive
Company	Diamond Industries Limited
Address	"23-K.M. Multan Road, Mohlanwal , ,Lahore"
Phone	"042-111-111-666, 37540336-7"
Phone 2	042-37932001-07
Fax	"042-37925299, 37540335"
Date of Listing	16/05/1995
Email	info@diamondfoam.com
URL	www.diamondfoam.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Hussain Jamil
Designation	Chief Executive Officer
Company	Ecopack Limited
Address	"House # 19, Main Street, Citi Villas , Near High Court Road,Rawalpindi"
Phone	051-5974098-99
Phone 2	
Fax	051-5974097
Date of Listing	18/05/1994
Email	plant_h@ecopack.com.pk
URL	www.ecopack.com.pk
Registrar	THK Associates (Private) Limited
	
Representative	
Designation	Chief Executive Officer
Company	Gammon Pakistan Limited
Address	"Gammon House , 400/2, Peshawar Road,Rawalpindi"
Phone	051-5477326-30
Phone 2	051-5479211-12
Fax	051-5477511
Date of Listing	04/02/1956
Email	gammon1@dsl.net.pk
URL	www.gammonpakistan.com
Registrar	Vision Consulting Limited
	
Representative	Mr. Khawar Anwar Khawaja
Designation	Chief Executive
Company	GOC (Pak) Limited
Address	"Small Industries Estate , ,Sialkot"
Phone	052-3563051-52
Phone 2	052-3555338
Fax	052-3551252-3553609
Date of Listing	09/06/1987
Email	info@gocpak.com
URL	www.gocpak.com
Registrar	Corptec Associates (Private) Limited
	
Representative	Mr. Zahir A. Malik
Designation	Managing Director
Company	Hashimi Can Company Limited
Address	"Office # 1, Ground Floor, Building No. 31-C, Noor Heights, , Jami Commercial Street No. 2, Phase VII, DHA,,Karachi"
Phone	3008254705
Phone 2	
Fax	021-35875523
Date of Listing	07/05/1962
Email	z_m6@hotmail.com
URL	www.hashimican.com
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Ali Asghar Rajani
Designation	Chief Executive
Company	Haydari Construction Company Limited
Address	"Mezzanine Floor, UBL Building , I. I. Chundrigar Road,Karachi"
Phone	021-32411247-32628181
Phone 2	021-32411887
Fax	021-32414581
Date of Listing	01/01/1970
Email	habibark@fascom.com
URL	www.hccl.com.pk
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Najm-ul-Hassan
Designation	Chief Executive
Company	MACPAC Films Limited
Address	"21-Maqboolabad, Jinnah Cooperative Housing Society , Tipu Sultan Road,Karachi"
Phone	021-111-635-111
Phone 2	
Fax	021-34305813
Date of Listing	02/04/2004
Email	cfo@macpacfilms.com
URL	www.macpacfilms.com
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Azeem H. Mandviwala
Designation	Chief Executive
Company	Mandviwala Mauser Plastic Industries Limited
Address	"Mandviwalla Building , Old Queens Road,Karachi"
Phone	021-32441116-19
Phone 2	
Fax	021-32441276
Date of Listing	04/11/1991
Email	mmpil@cyber.net.pk
URL	www.mandviwallamauser.com
Registrar	THK Associates (Private) Limited
	
Representative	Mian M. Waqar Mannoo
Designation	Chief Executive
Company	Olympia Mills Limited
Address	"Plot No.H/23/3, , Landhi Industrial Area,Karachi"
Phone	021-35080923-4
Phone 2	
Fax	021-35080926
Date of Listing	17/08/1971
Email	info@olympiamills.com
URL	www.olympiamills.com
Registrar	C & K Management Associates (Pvt) Limited
	
Representative	Mr. Azam Sakrani
Designation	Chief Executive Officer
Company	Pakistan Aluminium Beverage Cans Limited
Address	"Plot # 29, 30, Sahiawala , M-3 Industrial City,,Faisalabad"
Phone	041-8731364
Phone 2	
Fax	
Date of Listing	16/07/2021
Email	info@pkbevcan.net
URL	www.pkbevcan.com
Registrar	THK Associates (Private) Limited
	
Representative	Mrs. Aamna Taseer
Designation	Chief Executive
Company	Pace (Pakistan) Limited
Address	"First Capital House, 96-B/1, Lower Ground Floor, , M. M. Alam Road, Gulberg-III,,Lahore"
Phone	042-35778217-18
Phone 2	
Fax	
Date of Listing	26/02/2007
Email	info@pacepakistan.com
URL	www.pacepakistan.com
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Muzaffar F. Baweja
Designation	Chief Executive Officer
Company	Pakistan Hotels Developers Limited
Address	"Regent Plaza Hotel, Mezzanine Floor, , 195/2,Shahrah-e-Faisal,Karachi"
Phone	021-111-111-774
Phone 2	021-35657000
Fax	021-35631523-35683146
Date of Listing	26/07/1981
Email	rphcc@cyber.net.pk
URL	www.rphcc.com & www.phdl.com.pk
Registrar	F.D. Registrar Services (SMC-Pvt.) Ltd.
	
Representative	Mr. Murtaza Hashwani
Designation	Chief Executive Officer
Company	Pakistan Services Limited
Address	"1st Floor, Nespak House , G-5/2,Islamabad"
Phone	051-2272890-98
Phone 2	
Fax	051-2274812-2878636
Date of Listing	18/01/1964
Email	psl@hashoogroup.com
URL	www.psl.com.pk
Registrar	THK Associates (Private) Limited
	
Representative	Dr. Manzoor H. Qazi
Designation	Chief Executive
Company	Shifa International Hospitals Limited
Address	"Sector H-8/4 , ,Islamabad"
Phone	051-4603666
Phone 2	
Fax	051-4863182
Date of Listing	27/02/1995
Email	
URL	www.shifa.com.pk
Registrar	Corplink (Pvt) Limited
	
Representative	Mr. Zia Hyder Naqi
Designation	Chief Executive Officer
Company	Synthetic Products Enterprises Limited
Address	"127-S,Quaid-e-Azam Industrial Estate , Kotlakhpat,Lahore"
Phone	042-35115506-07
Phone 2	042-111-005-005
Fax	042-35118507
Date of Listing	10/02/2015
Email	synthetic@spelgroup.com
URL	www.spelgroup.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Munir Qureshi
Designation	Chief Executive Officer
Company	Siddiqsons Tin Plate Limited
Address	"Ocean Mall & Tower, 27th Floor , Plot # G-3, Block 9, Near II Talwar, Clifton,Karachi"
Phone	021-35166571-5
Phone 2	021-35166703
Fax	
Date of Listing	12/12/2005
Email	tinplate@siddiqsonstinplate.com
URL	www.siddiqsonstinplate.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Ali Jameel
Designation	Chief Executive Officer
Company	TPL Properties Limited
Address	"12th Floor, Centrepoint,Off: Shaheed-e-Millat Expressway , Near KPT Interchange,Karachi"
Phone	021-34390300
Phone 2	021-111-000-300
Fax	021-35316032
Date of Listing	04/07/2016
Email	info@tplproperty.com
URL	www.tplproperty.com
Registrar	THK Associates (Private) Limited
	
Representative	Mr. Nasir Jamal
Designation	Chief Executive
Company	Tri-Pack Films Limited
Address	"4th Floor, The Forum, Suit # 416-422 , G-20, Block-9, Clifton, Khayaban-e-Jami,Karachi"
Phone	021-35874047-49
Phone 2	021-35831618
Fax	021-35860251
Date of Listing	28/08/1995
Email	info@tripack.com.pk
URL	www.tripack.com.pk
Registrar	FAMCO Associates (Pvt) Limited
	
Representative	Syed Nadeem Ahmed
Designation	Chief Executive Officer
Company	United Brands Limited
Address	"2nd Floor, One IBL Center, Block 7 & 8, , Delhi Mercantile Muslim Cooperative Housing Society, Shahrah-e-Faisal,,Karachi"
Phone	021-37170183
Phone 2	
Fax	
Date of Listing	03/07/1970
Email	unitedbrands@ubrands.biz
URL	www.ubrands.biz
Registrar	CDC Share Registrar Services Limited
	
Representative	Mr. Asad Abdulla
